country,c_code,indicator,i_code,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,0.0520052740051767,0.0555040341374304,0.044998599744515,0.0590286845531525,0.061713630602974,0.0530906290909512,0.100814738552539,0.113118677615234,0.142400815603977,0.174467969847596,0.135418228630305,0.0920973947953241,0.0706648881620335,0.0828325109987508,0.0756084839903742,0.0639790815690618,0.078417168806689,0.0742612659681981
Afghanistan,AFG,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,,,,,,,,,,,,,,,,,,-11.6151395323031,-7.2151752293674,-5.55502199403893,-6.00758305914186,-6.86373515568696,-7.60054085014712,-6.50721610801864,-6.44976232342758,-4.60734283653133,-4.45565732618117,-5.2286090288737,-6.54614558321633,-9.1889368207667,-8.3194745575249
Afghanistan,AFG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,,,,,,,,,,,,,,0.0043459645908209,0.0074287768552396,0.0164647470509244,0.0109048985337024,0.0111500979096212,0.0764304436793042,0.224256029094819,0.126254875325353,0.212764254869903,0.492732777374243,0.271250833599429,0.242597637217459,0.226654361917562,0.168633703099671,0.245751221481888,0.400798952339048,0.545866583766561,0.332140150952389
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,-2.35798854942128,2.23601792155674,-3.64331157543083,-12.6195276392874,-25.8706980173329,-25.2900733285252,-15.7724212014112,-21.912668651173,-14.9502033865154,-18.9559479529849,-21.5852670723455,-20.1704576794398
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,9.44338989,8.94125843,9.80847359,9.94828987,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190681,7.89717579,8.80594063,9.52887058,10.10534763,11.81856155,12.62081718,14.12674332,13.24220181
Afghanistan,AFG,Direct agriculture loss attributed to disasters (current United States dollars)CU_USD,VC_DSR_AGLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23693714.70931,213967899.38603,2153592.32445
Afghanistan,AFG,Direct economic loss attributed to disasters (current United States dollars)CU_USD,VC_DSR_GDPLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58294889.34771,326766511.88603,25125531598.0457
Afghanistan,AFG,Direct economic loss attributed to disasters relative to GDP (%)PERCENT,VC_DSR_LSGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00311,0.0181,1.3365
Afghanistan,AFG,Direct economic loss in the housing sector attributed to disasters (current United States dollars)CU_USD,VC_DSR_HOLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34163999.96584,112798612.5,25123339687.5
Afghanistan,AFG,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars)CU_USD,VC_DSR_CILN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437174.39956,0.0,38318.22125
